lambda,subject,acc,ess
0.0,0,0.5069444444444444,15.5983095
0.0,1,0.4513888888888889,11.56886
0.0,2,0.5885416666666666,11.729338
0.0,3,0.5017361111111112,20.253275
0.0,4,0.4461805555555556,17.429138
0.0,5,0.3888888888888889,14.792894
0.0,6,0.7204861111111112,15.582894
0.0,7,0.7482638888888888,21.340645
0.0,8,0.578125,16.387367
0.1,0,0.4982638888888889,13.66707
0.1,1,0.4704861111111111,9.348423
0.1,2,0.5902777777777778,10.448053
0.1,3,0.5190972222222222,16.182167
0.1,4,0.4131944444444444,15.284745
0.1,5,0.4253472222222222,12.86126
0.1,6,0.6944444444444444,14.327607
0.1,7,0.703125,19.944635
0.1,8,0.5815972222222222,14.5416
0.25,0,0.4548611111111111,11.679702
0.25,1,0.4965277777777778,7.409864
0.25,2,0.5677083333333334,8.37786
0.25,3,0.4600694444444444,15.152492
0.25,4,0.4427083333333333,13.536916
0.25,5,0.4201388888888889,11.015198
0.25,6,0.734375,12.192361
0.25,7,0.7100694444444444,18.099892
0.25,8,0.5711805555555556,13.597513
0.5,0,0.4479166666666667,10.483274
0.5,1,0.4930555555555556,6.327132
0.5,2,0.5190972222222222,6.9996457
0.5,3,0.4895833333333333,12.308992
0.5,4,0.4027777777777778,12.16464
0.5,5,0.3767361111111111,10.131489
0.5,6,0.7239583333333334,10.613195
0.5,7,0.7048611111111112,16.658136
0.5,8,0.5677083333333334,11.437099
1.0,0,0.4409722222222222,8.469196
1.0,1,0.4861111111111111,5.355916
1.0,2,0.4427083333333333,5.7889986
1.0,3,0.4565972222222222,10.09636
1.0,4,0.4166666666666667,10.358041
1.0,5,0.4010416666666667,7.806633
1.0,6,0.7204861111111112,9.179395
1.0,7,0.7465277777777778,14.082195
1.0,8,0.5572916666666666,9.587735
